City,lat,lon
Valparaíso,-33.049043,-71.606758
Rancagua,-34.166279,-70.73458
Pichilemu,-34.390153,-72.004138
Constitución,-35.329859,-72.414471
Talca,-35.429107,-71.651627
Chillán,-36.612345,-72.101138
Concepción,-36.814745,-73.047469
Los Ángeles,-37.469422,-72.348047
Lebu,-37.607921,-73.654772
Temuco,-38.740196,-72.594482
Angol,-37.803603,-72.697041
Villarrica,-39.284539,-72.227679
Valdivia,-39.828553,-73.230783
Los Lagos,-39.862136,-72.804079
Puerto Montt,-41.464265,-72.948877
Osorno,-40.575396,-73.136707
Castro,-42.479178,-73.766831
Chaitén,-42.918869,-72.709709
